Participant_ID,Age,Gender,Device_Type,Experience_Level,Task_Success,Completion_Time_s,SUS_Q1,SUS_Q2,SUS_Q3,SUS_Q4,SUS_Q5,SUS_Q6,SUS_Q7,SUS_Q8,SUS_Q9,SUS_Q10,UEQ_Attractiveness,UEQ_Efficiency,UEQ_Perspicuity,NASA_TLX_Mental,NASA_TLX_Temporal,NASA_TLX_Frustration,Trust_Score,Ease_of_Use,Willingness_to_Reuse,Attention_Check_Passed
P0043,26.0,F,iOS,Intermediate,1.0,19.297940150589632,5.0,2.0,5.0,3.0,3.0,,3.0,2.0,4.0,4.0,4.0,5.0,7.0,20.000608268640175,17.588497993611284,-0.06368815695166852,5.185548222395203,6.5732652966338545,4.174992327443228,1.0
P0044,35.0,M,Android,Intermediate,1.0,437.6514954494876,3.0,,5.0,5.0,4.0,1.0,3.0,4.0,5.0,3.0,6.0,4.0,6.0,19.85870036385824,7.147219361449158,2.2661681958148137,6.174031238599856,6.32902202941537,4.558517777011849,1.0
P0045,26.0,F,iOS,Beginner,1.0,45.91063747042341,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,21.0,8.651076041492013,-3.717964379863153,6.507458806984533,7.323684366183118,4.8182292468203975,1.0
P0046,24.0,M,Android,Advanced,0.0,62.07916041909735,2.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,6.0,5.0,21.0,9.174272553001527,5.2851526156197455,3.237113183619054,5.235557653525995,5.273951341768916,1.0
P0047,18.0,F,Android,Advanced,1.0,102.00276378538992,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,6.0,6.0,6.0,12.145759271667629,3.6539842220367986,9.16742215302217,6.402074191596174,6.105329582393379,4.4133218215367975,0.0
P0048,32.0,M,iOS,Intermediate,1.0,74.15331692844869,4.0,4.0,4.0,3.0,4.0,2.0,4.0,,4.0,3.0,5.0,4.0,6.0,16.50850163592787,8.266758821316238,-4.397406004327308,6.468009894770017,7.353587023845619,5.484964949805492,1.0
P0049,24.0,F,iOS,Intermediate,1.0,137.57717761469084,4.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,,19.629855890996737,9.623732348146941,3.7403693721014832,5.497335260108713,6.549616063632264,5.437705301542676,1.0
,44.0,F,Desktop,Intermediate,1.0,20.965586944515284,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,5.031601850694171,6.333015599894463,16.0,7.06688345525331,7.283990888601658,5.492467703832078,1.0
P0051,56.0,,Desktop,Beginner,1.0,37.25109071935661,3.0,5.0,1.0,2.0,4.0,3.0,5.0,4.0,5.0,4.0,7.0,4.0,5.0,21.0,21.0,-1.9097644789229467,6.845513146137397,6.193065664755712,5.248786355817575,1.0
P0052,24.0,M,iOS,Intermediate,1.0,0.0,5.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,3.0,5.0,4.0,,6.0,21.0,10.965058180623702,-2.918260699522259,6.272761665500637,6.0037066942412505,5.025849809351691,0.0
P0053,26.0,Prefer not to say,iOS,Intermediate,1.0,63.44579666344659,5.0,5.0,3.0,2.0,5.0,4.0,1.0,5.0,2.0,5.0,,5.0,5.0,7.431260639965509,21.0,-4.688971537311983,7.236768269632362,6.6459669409809115,3.818020537863029,1.0
P0054,52.0,F,iOS,Advanced,1.0,98.67279551645922,4.0,5.0,1.0,,2.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,6.0,21.0,13.772791829455759,-1.7659769272676566,6.9432466919127815,6.815336166965929,5.3484076049303,1.0
P0055,46.0,M,Android,Advanced,1.0,58.921294599551565,4.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,3.0,7.0,6.0,10.757959298253063,9.205085327621978,-3.7455740735546237,5.9473653597853255,,4.92808062521669,1.0
P0056,18.0,F,Android,,1.0,24.18191976960813,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,7.5379434094640905,6.2834601055608035,7.627779838411408,6.235874305391566,6.930749117833292,5.561759645128227,1.0
P0057,48.0,M,Android,Intermediate,1.0,201.9043269706875,3.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,2.0,5.0,4.0,6.0,21.0,11.873488350201473,-4.96728722444523,7.025224189482041,6.631423530557121,,1.0
P0058,40.0,M,Android,Beginner,0.0,58.38769500395149,4.0,1.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,3.0,7.0,5.0,5.0,10.287383044871962,11.013372711891193,21.0,5.0860171066127196,4.82229415732165,5.0231361619146835,1.0
P0059,35.0,F,Android,Advanced,1.0,124.88480746275857,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,6.0,4.0,12.107205510471125,10.01343779286381,2.9740361160827327,7.401618316955083,6.678136674116801,5.305943628019234,1.0
P0060,35.0,F,Desktop,Advanced,1.0,52.701080748650995,5.0,3.0,4.0,3.0,2.0,5.0,5.0,3.0,4.0,4.0,5.0,5.0,6.0,12.55420657903394,7.746039805848093,-0.9320631617373252,6.65037737198274,5.3772877611788354,6.2339595804351795,1.0
P0061,40.0,F,Desktop,Beginner,1.0,15.965073174747962,3.0,4.0,3.0,3.0,4.0,4.0,3.0,,4.0,4.0,7.0,,5.0,21.0,11.525341346768453,-4.931941661353761,5.017476085818395,7.273914992029675,3.898464790421837,1.0
P0062,45.0,F,iOS,Intermediate,1.0,44.05486046039701,4.0,4.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,2.0,4.0,5.0,3.0,15.394108559133441,10.22046960449449,1.280283418464144,6.180224631304661,6.201225300356021,3.618062862822118,1.0
P0063,18.0,M,Android,Intermediate,1.0,35.94331041462716,4.0,1.0,3.0,,2.0,5.0,3.0,3.0,4.0,4.0,6.0,4.0,7.0,13.849116827540554,21.0,5.504422153488811,6.195371607404438,7.381166270088498,5.585115837655547,1.0
P0064,57.0,F,Android,Advanced,1.0,79.1208310944007,5.0,5.0,4.0,3.0,3.0,2.0,2.0,5.0,4.0,5.0,3.0,4.0,5.0,21.0,5.728622940602154,-2.3101716704998316,5.556333052466843,5.868367936900511,5.16436654068617,1.0
P0065,49.0,F,Android,Intermediate,1.0,38.12441364144537,3.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,2.0,5.0,6.0,5.0,5.0,5.921100736599316,9.03336707315023,-1.855418114411429,7.341741515007182,6.871669836434857,5.623402938351125,1.0
P0066,46.0,M,iOS,Advanced,0.0,24.128125323000024,5.0,4.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,6.0,5.0,6.0,9.075280549640382,12.401943008836529,1.8521614886342608,5.56630597558066,5.268568831342471,4.274319484323227,1.0
,37.0,M,iOS,Intermediate,1.0,259.09271348969423,2.0,4.0,3.0,5.0,5.0,3.0,2.0,5.0,4.0,2.0,6.0,3.0,5.0,13.431756442971096,8.479002846676027,-2.7720155261037194,6.9336194244712255,7.10326078923681,4.941171877393664,1.0
P0068,38.0,Other,iOS,Intermediate,1.0,31.03521800299086,1.0,4.0,4.0,5.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,7.0,7.0,21.0,7.543858755588156,-2.682611770523928,5.313464693237846,3.7443719267577498,4.415893967873842,1.0
P0069,33.0,M,iOS,Intermediate,1.0,65.96823983066373,4.0,5.0,5.0,5.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,10.427512349194373,6.345372713272057,-2.0499724726781703,6.753341549269422,6.889211066491649,3.3778497053489405,1.0
P0070,48.0,,Android,Beginner,0.0,409.3196203929273,4.0,4.0,,1.0,4.0,4.0,3.0,3.0,4.0,3.0,6.0,5.0,5.0,11.923787496374645,16.717179473779435,5.163431351937085,3.8467366294582614,4.391947452522427,5.417661850952858,0.0
P0071,28.0,M,iOS,Intermediate,1.0,0.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,6.0,5.0,10.92696309175548,16.237073688215993,-2.76985125717869,6.552558284194001,7.567052849229868,6.772445208270039,0.0
P0072,28.0,M,iOS,Intermediate,1.0,135.5816714081915,5.0,5.0,5.0,4.0,2.0,1.0,5.0,2.0,5.0,2.0,4.0,7.0,6.0,6.7757084200016715,14.782205459017387,-4.035128573630096,6.092610529188782,7.4413355897683,4.948393109605996,1.0
,37.0,F,iOS,Beginner,1.0,46.669851642797866,1.0,4.0,4.0,2.0,2.0,5.0,5.0,4.0,4.0,5.0,7.0,7.0,6.0,10.698521284699442,9.743774751965637,3.002339321107149,6.418284851435055,4.822520466243003,6.0185363711304065,1.0
P0074,31.0,M,Desktop,Intermediate,1.0,32.077536301697116,5.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,6.0,3.0,21.0,13.730557243109974,7.417250405710746,5.239756788249417,6.630654929286427,4.186450591944283,0.0
P0075,30.0,M,iOS,Intermediate,1.0,193.2754992317098,5.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,5.0,4.0,7.0,5.0,6.0,21.0,,-2.4653427298580084,6.113467012100309,5.495643890798187,5.827101779758956,1.0
P0076,32.0,M,iOS,Beginner,1.0,28.915751960723416,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,11.46628849742947,11.015022250920646,-4.597974162627305,6.701386190429105,5.178799417512416,3.4115963881055444,1.0
P0077,46.0,F,Android,Beginner,1.0,39.055116395005705,3.0,3.0,5.0,5.0,5.0,3.0,3.0,,4.0,4.0,5.0,5.0,6.0,12.621263145187251,15.690266902674287,-0.5825005226105233,5.8521356578905745,6.26669795808227,4.623131353041869,1.0
P0078,41.0,M,Android,Intermediate,1.0,0.0,3.0,4.0,3.0,4.0,1.0,3.0,4.0,,5.0,4.0,7.0,7.0,5.0,21.0,7.793916151270539,1.6851587060923485,7.040045287956101,7.1109067238840495,6.144139865273596,1.0
P0079,27.0,M,Android,Intermediate,0.0,20.594103862960196,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,7.0,4.0,5.0,6.196508149597361,8.581848480866489,17.79237248673131,5.940091847423227,5.7742706808875095,4.340898026914811,1.0
P0080,57.0,F,iOS,Advanced,0.0,83.39609340244522,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,6.0,9.463993895131805,17.17465572708392,10.64259069437663,4.002714268043264,5.9005815171506715,5.827370531483566,1.0
P0081,44.0,M,Android,Advanced,1.0,70.18003296872298,5.0,4.0,5.0,2.0,2.0,1.0,3.0,5.0,2.0,5.0,5.0,6.0,6.0,21.0,7.94722098560102,6.723203023164896,6.015924582889922,7.140867197060831,5.303709228301043,0.0
P0082,34.0,F,iOS,Intermediate,1.0,17.264147573127754,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,5.0,2.0,7.0,6.0,6.0,9.620936544208947,12.006571811711165,-4.526252333538456,6.673733336567384,7.2737163001036045,4.845346055201339,1.0
P0083,50.0,F,Android,Intermediate,,22.90098847074083,2.0,2.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,3.0,6.0,5.0,7.0,14.388029452339675,5.408466015270848,0.911714681943931,5.3617444311902,4.100794801827638,3.969451268365831,1.0
P0084,43.0,F,Desktop,Intermediate,1.0,54.33537323993428,5.0,5.0,3.0,3.0,5.0,4.0,2.0,4.0,3.0,5.0,5.0,6.0,5.0,21.0,15.24706233148422,-1.0199520551745045,5.556152953791902,5.057767972174536,1.953840281649228,1.0
P0085,,M,,Advanced,1.0,49.58045227520998,3.0,3.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,9.842167287760452,10.797992243264027,-2.826670146019552,5.980248699317988,6.353177933403213,6.02187649568095,1.0
P0086,24.0,F,iOS,Intermediate,1.0,352.96936147647517,5.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,6.0,7.0,14.705807396395727,5.208470024112716,-2.188552075958045,6.234792871177771,6.991097397936226,6.508856109156643,1.0
P0087,41.0,F,iOS,Intermediate,1.0,43.96361126230468,5.0,5.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,5.0,4.929594442524941,9.71001910541478,-4.888031486190933,7.18139549683339,7.15104990114836,4.989847644943912,1.0
P0088,18.0,F,iOS,Intermediate,1.0,187.38585415216042,4.0,3.0,4.0,5.0,2.0,3.0,3.0,5.0,4.0,4.0,6.0,6.0,6.0,21.0,21.0,-3.260917595496903,5.771970195132767,5.806880132622471,4.529173729910951,1.0
P0089,37.0,M,iOS,Advanced,1.0,55.961832100131716,3.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,6.0,5.0,5.0,8.94529215156655,10.262015561631367,11.61968909612095,5.711869220630024,3.8889517106732985,5.293847694755322,
P0090,18.0,M,Desktop,Beginner,1.0,117.51510433496988,3.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,8.701085668213569,9.085549448171832,-3.9999841781357306,5.6063321451541634,5.704231661788468,5.219604904156514,0.0
P0091,53.0,Prefer not to say,Desktop,Intermediate,0.0,66.93925206342935,3.0,5.0,2.0,4.0,2.0,2.0,4.0,2.0,1.0,5.0,5.0,5.0,6.0,9.501217566296377,21.0,1.9418167397779857,4.443717667277675,4.421074870013197,6.0431120822321045,1.0
P0092,32.0,F,Android,Intermediate,1.0,75.80251331544754,4.0,3.0,4.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,6.0,4.0,6.0,14.096456706327734,2.1894107479867753,0.9195146755645496,5.698513527458684,6.609201631527444,4.449382610993179,1.0
P0093,52.0,M,Android,Intermediate,1.0,57.60972869151002,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,4.0,9.719879885985298,10.724198113224382,-2.840478164082155,6.851622022562665,6.334188564953705,6.180227886954833,1.0
P0094,36.0,F,iOS,Intermediate,0.0,16.084957281241795,5.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,5.0,3.0,6.0,4.0,6.0,17.992975110122018,13.10644032739323,1.039490936926049,5.49153673071628,5.097213724692401,5.376172046499156,1.0
P0095,57.0,Prefer not to say,iOS,Advanced,1.0,14.719658385822068,5.0,4.0,,3.0,5.0,5.0,2.0,5.0,4.0,,6.0,4.0,6.0,3.4561493978807145,9.705063315424201,-2.4729204774239264,5.745117912288227,6.44148661025365,5.969347043840527,1.0
P0096,56.0,F,Desktop,Advanced,1.0,120.12750608042306,2.0,,3.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,4.0,5.0,14.72083000293773,10.229728627849807,3.0191787929997584,5.956348709696082,7.259639177013696,5.654371789595336,1.0
P0097,35.0,M,iOS,Intermediate,,358.4547045917583,5.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,7.0,3.0,4.0,12.65359663753934,5.11450418266279,-4.860584823485413,6.059633003863531,7.389363285881396,1.8766645822062127,1.0
P0098,18.0,F,Android,Intermediate,1.0,80.03381997675424,4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,3.0,4.0,6.0,6.0,3.0,15.680782049644021,21.0,,7.0779685485121515,7.178155467088392,6.124313144784371,1.0
P0099,27.0,M,iOS,Intermediate,1.0,98.99396200408023,5.0,2.0,4.0,5.0,3.0,4.0,2.0,,4.0,3.0,3.0,3.0,6.0,13.311324511627005,9.513482252867977,-3.4975545345857775,5.842959669754782,5.916693400140353,5.149649913673171,1.0
P0100,46.0,M,iOS,Beginner,1.0,0.0,2.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,5.0,5.051518047196888,10.762993589426285,5.294650734932835,7.171317475525761,5.839448776291914,4.50335058559776,0.0
P0101,36.0,M,iOS,Intermediate,1.0,114.85626977014428,3.0,3.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,5.0,6.0,6.0,6.0,11.062659385071434,9.867262417767256,-1.083490795602466,5.797869043483056,7.531669436862893,6.031935020082764,0.0
