Participant_ID,Card_ID,Card_Label,Assigned_Category,Category_Correct,Confidence_Rating,Task_Success,Path_Length,Time_on_Task_s,Design_Version
P0017,Card_42,Faculty,Academics,1.0,5.0,1.0,2.0,12.62892905256326,Proposed
P0018,Card_43,Faculty,Academics,1.0,4.0,1.0,5.0,25.571444658139033,Proposed
P0019,Card_44,Home,Main_Nav,1.0,3.0,1.0,2.0,,Proposed
P0020,Card_45,Faculty,Resources,1.0,3.0,0.0,4.0,36.84910619612168,Proposed
P0021,Card_46,Admissions,Resources,1.0,2.0,0.0,4.0,40.70302959020278,Proposed
P0022,Card_47,Admissions,Administration,1.0,5.0,1.0,1.0,145.14095957728472,Proposed
P0023,Card_48,Research,Resources,1.0,3.0,1.0,2.0,32.08892043238051,Proposed
,Card_49,Home,Academics,1.0,3.0,1.0,3.0,35.25262408430879,Proposed
P0025,Card_50,Research,Administration,1.0,4.0,0.0,0.0,65.91991879102262,Proposed
P0001,Card_51,Admissions,Main_Nav,1.0,4.0,1.0,3.0,20.847308098291116,Current
P0002,Card_52,Faculty,Main_Nav,1.0,1.0,1.0,7.0,27.49605737839112,Current
P0003,Card_53,Faculty,Administration,1.0,5.0,1.0,1.0,24.533566294568462,Proposed
P0004,Card_54,Courses,Academics,1.0,5.0,1.0,4.0,37.9519591427298,Proposed
P0005,Card_55,Faculty,Resources,1.0,3.0,1.0,2.0,68.28319685914481,Proposed
P0006,Card_56,Research,Resources,1.0,4.0,0.0,4.0,57.41388044147837,Proposed
P0007,Card_57,Campus,Resources,1.0,4.0,1.0,6.0,326.33833413353324,Current
P0008,Card_58,Research,Academics,1.0,3.0,1.0,2.0,68.03628382551281,Proposed
P0009,Card_59,Faculty,Main_Nav,1.0,4.0,1.0,2.0,15.509910096952463,Proposed
P0010,Card_60,Home,Resources,0.0,5.0,0.0,2.0,26.76629180354708,Current
P0011,Card_61,Courses,Main_Nav,1.0,4.0,1.0,2.0,127.76348018303476,Proposed
P0012,Card_62,Research,Resources,1.0,5.0,1.0,2.0,93.54021126466233,Proposed
P0013,Card_63,About,Resources,1.0,5.0,1.0,5.0,45.88600565237675,Proposed
P0014,Card_64,Contact,Main_Nav,1.0,4.0,0.0,2.0,137.0746804298548,
P0015,Card_65,Research,Resources,1.0,4.0,1.0,0.0,18.47655954198241,Proposed
P0016,Card_66,Campus,Administration,1.0,3.0,1.0,2.0,15.904927256709005,Current
P0017,Card_67,Faculty,Resources,1.0,3.0,1.0,4.0,61.925828112828185,Current
P0018,Card_68,Home,,1.0,5.0,1.0,3.0,390.02025040077706,Current
P0019,Card_69,Contact,Main_Nav,0.0,4.0,1.0,2.0,87.72760120561495,Current
P0020,Card_70,Admissions,Resources,1.0,4.0,1.0,4.0,35.338203327934195,Proposed
P0021,Card_71,Contact,Resources,1.0,4.0,0.0,5.0,50.05077593625219,Current
P0022,Card_72,Courses,Main_Nav,1.0,4.0,1.0,3.0,65.22486107095602,Proposed
P0023,Card_73,About,Main_Nav,0.0,2.0,1.0,3.0,25.119303609517214,Current
P0024,Card_74,Admissions,Academics,1.0,2.0,0.0,3.0,16.437483485123984,
P0025,Card_75,Admissions,Academics,1.0,4.0,1.0,3.0,47.69254694691743,Proposed
P0001,Card_76,Campus,Administration,1.0,5.0,1.0,4.0,84.03541907027268,Proposed
P0002,Card_77,Admissions,Administration,1.0,3.0,1.0,4.0,19.441609719738672,Current
P0003,Card_78,About,Academics,0.0,4.0,1.0,6.0,35.45703954333619,Current
P0004,Card_79,Faculty,Academics,1.0,4.0,1.0,2.0,62.434547103793776,Current
,Card_80,Home,Administration,1.0,,1.0,3.0,124.5075467773087,Proposed
P0006,Card_81,Faculty,Resources,1.0,3.0,1.0,3.0,92.97409493130127,Current
P0007,Card_82,Campus,Main_Nav,1.0,3.0,1.0,5.0,30.046522713041025,
P0008,Card_83,Contact,Resources,1.0,4.0,1.0,1.0,37.03841975414391,Current
P0009,Card_84,Research,Academics,0.0,2.0,1.0,3.0,6.99376876780438,Current
P0010,Card_85,Research,Resources,0.0,3.0,0.0,2.0,6.2329215151813715,Current
P0011,Card_86,Admissions,Academics,1.0,,1.0,3.0,75.20183871937485,Proposed
P0012,Card_87,Admissions,Main_Nav,1.0,5.0,1.0,0.0,58.613225455222306,Proposed
P0013,Card_88,Research,Academics,1.0,4.0,1.0,0.0,51.390297262575515,Current
P0014,Card_89,Courses,Main_Nav,0.0,4.0,1.0,0.0,150.058310450832,Current
P0015,Card_90,Faculty,Administration,1.0,3.0,0.0,4.0,126.85557674712315,Proposed
P0016,Card_91,Faculty,Resources,0.0,4.0,1.0,0.0,34.22805240822478,Current
P0017,Card_92,About,Resources,1.0,5.0,0.0,4.0,167.28869384895728,Proposed
P0018,Card_93,Admissions,Administration,1.0,5.0,1.0,2.0,,Proposed
P0019,Card_94,Campus,Main_Nav,1.0,5.0,1.0,1.0,71.10995691808603,Current
P0020,Card_95,Campus,Main_Nav,1.0,3.0,1.0,5.0,35.05104688766335,Proposed
P0021,Card_96,Campus,Administration,1.0,4.0,1.0,1.0,77.82767655490093,Proposed
P0022,Card_97,Contact,Academics,1.0,3.0,1.0,3.0,50.50604046433304,Proposed
P0023,Card_98,Home,Academics,1.0,5.0,0.0,3.0,101.46296241154815,Proposed
P0024,,Campus,Administration,1.0,5.0,0.0,6.0,23.017356801665983,Proposed
P0025,Card_100,Admissions,Resources,1.0,4.0,1.0,3.0,97.65698356786497,Proposed
P0001,Card_101,Courses,Resources,0.0,4.0,1.0,4.0,20.323067088681608,Current
P0002,Card_102,Admissions,Academics,1.0,4.0,1.0,5.0,63.96376951975196,Proposed
P0003,Card_103,Research,,1.0,5.0,1.0,2.0,37.81688972969222,Proposed
P0004,Card_104,Home,Academics,0.0,5.0,1.0,2.0,120.0086215063946,Current
P0005,Card_105,Campus,Main_Nav,1.0,4.0,1.0,3.0,182.76902523039385,Proposed
P0006,Card_106,Contact,Resources,0.0,4.0,1.0,3.0,36.81855872894652,Current
P0007,Card_107,Courses,Resources,1.0,4.0,1.0,,118.29062411038737,Current
P0008,Card_108,Courses,Main_Nav,1.0,5.0,1.0,4.0,207.47822060949593,Proposed
P0009,Card_109,Contact,Resources,1.0,5.0,1.0,2.0,28.867954573065052,Proposed
,Card_110,Courses,Resources,1.0,5.0,1.0,5.0,16.94999672687624,Proposed
P0011,Card_111,Courses,Administration,1.0,4.0,1.0,4.0,246.86978356284848,Proposed
P0012,Card_112,Faculty,Main_Nav,1.0,4.0,1.0,0.0,84.87429421529727,Proposed
P0013,Card_113,,Resources,1.0,4.0,1.0,2.0,12.009940415237335,Proposed
P0014,Card_114,About,Administration,0.0,,0.0,1.0,23.59376198826247,Current
P0015,Card_115,Faculty,Academics,1.0,4.0,1.0,3.0,163.3249138216532,Current
P0016,Card_116,Research,Academics,1.0,5.0,0.0,2.0,32.73496158233222,Proposed
P0017,Card_117,Faculty,Academics,1.0,4.0,1.0,3.0,28.61999427787951,Current
P0018,Card_118,Research,Resources,1.0,3.0,0.0,2.0,61.63907632321043,Proposed
P0019,Card_119,Campus,Main_Nav,1.0,5.0,1.0,2.0,23.549694644783617,Current
P0020,Card_120,Faculty,Main_Nav,1.0,5.0,1.0,2.0,81.4700386519127,Proposed
P0021,Card_121,Faculty,Academics,1.0,5.0,1.0,1.0,174.17090122907433,Proposed
P0022,Card_122,Home,Resources,1.0,4.0,0.0,5.0,79.47316921897276,Current
P0023,Card_123,Research,Administration,1.0,4.0,1.0,4.0,106.39399715386828,Proposed
P0024,Card_124,Campus,Resources,,1.0,1.0,4.0,250.92545843282196,Proposed
P0025,Card_125,Contact,Main_Nav,1.0,5.0,1.0,1.0,99.91212525758571,Proposed
P0001,Card_126,Admissions,Resources,1.0,2.0,,1.0,48.83706210395342,Proposed
P0002,Card_127,Home,Resources,0.0,4.0,1.0,2.0,83.69815547707009,Current
P0003,Card_128,Courses,Resources,1.0,3.0,1.0,4.0,31.00505150254221,Proposed
P0004,Card_129,Research,Administration,1.0,4.0,1.0,4.0,94.73787642800677,Current
P0005,Card_130,Contact,Resources,1.0,4.0,0.0,2.0,36.04646449788132,Proposed
P0006,Card_131,Home,Resources,1.0,4.0,1.0,1.0,15.599168897534984,Current
,Card_132,Admissions,Administration,1.0,5.0,1.0,4.0,25.87113368378283,Current
P0008,Card_133,Contact,Resources,1.0,4.0,1.0,4.0,32.116282961582684,Current
P0009,Card_134,Faculty,Academics,1.0,2.0,1.0,1.0,22.961398863988432,Proposed
P0010,Card_135,,Resources,1.0,5.0,1.0,1.0,69.36390222348253,Current
P0011,Card_136,Courses,Main_Nav,0.0,2.0,0.0,3.0,29.139635941251946,Current
P0012,Card_137,Contact,Academics,1.0,5.0,1.0,3.0,23.733264482167243,Current
P0013,Card_138,Campus,Administration,1.0,5.0,1.0,5.0,124.95774392866554,Proposed
P0014,Card_139,Faculty,Academics,1.0,5.0,0.0,6.0,63.5231180367221,Proposed
P0015,Card_140,About,Academics,0.0,4.0,1.0,1.0,34.030539275771794,Current
P0016,Card_141,Home,Academics,1.0,4.0,1.0,1.0,108.50803185378231,Current
P0017,Card_142,Admissions,Administration,,2.0,0.0,3.0,,Proposed
P0018,Card_143,About,Academics,1.0,4.0,0.0,2.0,87.52855738263422,Current
P0019,Card_144,Research,Main_Nav,1.0,5.0,1.0,3.0,,Proposed
P0020,Card_145,Research,Academics,0.0,3.0,1.0,1.0,52.90331899923402,Current
P0021,Card_146,Research,Administration,0.0,5.0,1.0,2.0,19.142588251869938,Current
P0022,Card_147,Admissions,Resources,1.0,4.0,1.0,3.0,34.788959903167886,Proposed
P0023,Card_148,Home,Administration,1.0,5.0,1.0,2.0,56.10098090544508,Proposed
P0024,Card_149,Admissions,Administration,1.0,5.0,0.0,5.0,30.723808652262985,Proposed
P0025,Card_150,Home,Academics,1.0,3.0,1.0,4.0,126.78246115363575,Proposed
P0001,Card_151,About,Academics,1.0,5.0,1.0,4.0,33.88071020839138,Proposed
P0002,Card_152,Campus,Academics,0.0,4.0,1.0,3.0,39.573251750688186,Current
P0003,Card_153,Contact,Administration,1.0,4.0,1.0,4.0,73.05070676939384,Proposed
P0004,Card_154,Campus,Administration,1.0,3.0,1.0,4.0,183.14658380980276,Current
P0005,Card_155,Courses,Academics,1.0,4.0,1.0,3.0,29.265908678344985,Proposed
P0006,Card_156,Faculty,Resources,1.0,5.0,1.0,2.0,34.78575003454244,Current
P0007,Card_157,Admissions,Resources,0.0,3.0,1.0,1.0,17.34226078508009,
P0008,Card_158,Campus,Main_Nav,1.0,5.0,1.0,6.0,28.44872283073928,Current
P0009,Card_159,Home,Main_Nav,0.0,4.0,1.0,0.0,72.5755256297739,Current
P0010,Card_160,Contact,Main_Nav,0.0,5.0,0.0,5.0,49.95641112631754,Current
P0011,Card_161,Home,Main_Nav,0.0,5.0,1.0,8.0,122.23515511549658,Current
P0012,Card_162,Campus,Resources,1.0,4.0,1.0,4.0,18.648549916946862,Current
P0013,Card_163,Research,Academics,1.0,5.0,1.0,1.0,140.67143514714354,Proposed
P0014,Card_164,Admissions,Academics,1.0,5.0,1.0,0.0,21.718059848939074,Proposed
P0015,Card_165,Research,Academics,1.0,3.0,1.0,4.0,77.51587515631057,
P0016,Card_166,About,Main_Nav,1.0,5.0,1.0,3.0,73.87015886058266,Proposed
P0017,Card_167,Campus,Main_Nav,1.0,5.0,1.0,4.0,48.837084417031804,Proposed
P0018,Card_168,Research,Administration,1.0,4.0,1.0,11.0,83.13321362172125,Proposed
P0019,Card_169,Campus,Resources,1.0,4.0,1.0,2.0,52.007178075439235,Proposed
P0020,Card_170,Home,Resources,1.0,5.0,1.0,2.0,34.65498922727928,Proposed
P0021,Card_171,Faculty,Main_Nav,1.0,5.0,1.0,8.0,192.3391309852141,Proposed
P0022,Card_172,Faculty,Administration,1.0,4.0,1.0,,22.39624422402469,Proposed
P0023,Card_173,Campus,Main_Nav,0.0,1.0,1.0,1.0,61.805574441435155,Current
P0024,Card_174,Campus,Academics,1.0,3.0,1.0,2.0,29.526342149853004,Current
P0025,Card_175,Campus,Academics,1.0,3.0,1.0,2.0,86.5194979392808,Current
P0001,Card_176,Home,Resources,1.0,4.0,1.0,4.0,33.14623243136767,Current
P0002,Card_177,Research,Administration,1.0,3.0,1.0,0.0,20.449294737584633,Current
P0003,Card_178,Home,Main_Nav,1.0,4.0,1.0,3.0,139.94556440620383,Proposed
P0004,Card_179,Admissions,Academics,1.0,4.0,1.0,4.0,67.81620540926144,Proposed
P0005,Card_180,Campus,Academics,1.0,2.0,1.0,0.0,214.16177171861594,Proposed
P0006,Card_181,Research,Academics,1.0,5.0,0.0,,82.33351168929711,Proposed
,Card_182,About,Academics,1.0,4.0,,3.0,186.8131601282814,Current
P0008,Card_183,Home,Resources,0.0,4.0,1.0,3.0,198.75341250532912,Current
P0009,Card_184,Contact,Academics,1.0,4.0,1.0,4.0,35.31579734108707,Proposed
P0010,Card_185,Faculty,Administration,1.0,4.0,,3.0,81.84382282552771,Current
P0011,Card_186,Campus,Main_Nav,1.0,2.0,1.0,6.0,84.7778452593977,Proposed
P0012,Card_187,Campus,Main_Nav,0.0,4.0,1.0,2.0,54.43397228127767,Current
P0013,Card_188,About,Resources,1.0,4.0,1.0,3.0,43.094151224915336,
P0014,Card_189,,Academics,1.0,5.0,1.0,3.0,12.752403871116362,Proposed
P0015,Card_190,About,Resources,0.0,5.0,1.0,4.0,27.787088531413733,Current
P0016,Card_191,Campus,Administration,1.0,5.0,1.0,5.0,218.17321416003838,Current
P0017,Card_192,Research,Academics,1.0,3.0,0.0,2.0,37.194303426953006,Proposed
P0018,Card_193,About,Resources,1.0,2.0,1.0,3.0,36.76506973277477,Current
P0019,Card_194,Contact,Administration,1.0,5.0,1.0,,49.05738796555007,Proposed
P0020,Card_195,Contact,,1.0,4.0,1.0,1.0,24.340173578902863,Proposed
P0021,Card_196,Campus,Resources,1.0,1.0,1.0,3.0,126.61442548191106,Proposed
P0022,Card_197,Research,Resources,0.0,3.0,1.0,3.0,60.28331361593124,Current
P0023,Card_198,Home,Resources,0.0,4.0,1.0,3.0,132.77864770161653,Current
P0024,Card_199,Research,Main_Nav,,5.0,1.0,2.0,86.22856554457309,Current
P0025,Card_200,About,Administration,1.0,4.0,1.0,3.0,69.55259178919368,Current
