User_ID,Session_ID,Task_Name,Task_Success,Time_to_Complete_s,Error_Rate_%,Satisfaction_Score,Cognitive_Load_Score,System_Latency_ms,Click_Error_Rate,Average_Path_Length,Help_Accessed,Post_Task_Confidence,Device_OS,Timestamp
U00036,S000036,Checkout,0.0,83.3928627081041,14.96996860889007,5.763322032974774,5.0,44.19408150724364,2.284678338323564,4,0.0,4.0,Android,2024-01-29
,S000037,Search,1.0,94.1277988110028,1.0375102831699046,5.46563478955076,1.8181207086936195,102.24120576975257,0.28959014807597827,3,0.0,5.0,MacOS,2024-03-01
U00038,S000038,Settings,1.0,93.17800565344753,0.44632418075123115,5.907858057329474,2.437936284920629,51.28828827212014,1.1718614600016497,4,0.0,3.0,Android,2024-01-19
U00039,S000039,Checkout,0.0,25.96140147051221,12.247938002383389,3.414254956328641,5.0,63.87167254223982,1.0047381721722377,7,0.0,3.0,Windows,2024-03-20
U00040,S000040,Upload,1.0,27.153795981819528,0.42029867418372213,7.0,2.3644374992171344,150.57882891750745,1.389203591840229,3,0.0,3.0,MacOS,2024-01-13
U00041,S000041,Settings,1.0,134.295341045325,0.8836106299467015,5.64345482152158,4.762886673223362,31.82509511053339,0.45008622704839163,7,0.0,5.0,Windows,2024-03-23
U00042,,Upload,1.0,143.45375791771954,2.924110597605237,5.7831827979399275,2.552497630721158,45.17369429793516,2.404406768571893,6,0.0,5.0,Android,2024-01-03
U00043,S000043,Settings,1.0,17.894506550188133,0.9480197990063102,3.546973250813133,3.689815668402024,64.0462241659392,6.8890888669752135,7,1.0,5.0,Android,2024-02-13
U00044,S000044,Login,0.0,45.10944003292607,11.24980902739282,5.606100110867993,3.851981139055034,52.82623187053986,1.8479542096110633,4,0.0,3.0,Windows,2024-02-23
U00045,S000045,Upload,1.0,36.99889898035864,1.6320695403060412,7.0,3.8998171844253875,86.70990821908744,1.7347103750655104,5,0.0,4.0,MacOS,2024-03-27
U00046,S000046,Login,1.0,25.912804135813438,0.0929065440780415,7.0,4.399770826787839,44.81284382228567,1.447696102558941,4,0.0,5.0,iOS,2024-03-29
U00047,S000047,Settings,1.0,48.37927087301839,1.90481270750535,5.142598565296648,2.239320677315915,188.88192598010744,5.9778987337100435,4,0.0,3.0,Windows,2024-01-18
U00048,S000048,Settings,1.0,42.99622932406529,1.9820743924706674,,2.979999585519041,98.08584263976411,6.741973915933247,3,0.0,5.0,MacOS,2024-01-10
U00049,S000049,Login,1.0,6.929039752679416,1.7164916769175416,5.713761948855174,2.9412571619870036,131.95376077005548,4.617080185670458,1,0.0,5.0,iOS,2024-01-27
U00050,S000050,Checkout,0.0,42.061923709716694,10.932384208509186,2.4561141863207974,4.053476240224626,37.89031964382202,0.06298692797692791,4,0.0,5.0,Windows,2024-01-28
