Participant_ID,Disability_Type,Assistive_Tech,Task_Name,Task_Success,Completion_Time_s,Error_Count,Error_Type,Keyboard_Presses,Cognitive_Load_Score,Satisfaction_Score,WCAG_Issue_Count
P0152,Hearing,None,Search,1.0,36.059110562512785,1.0,Focus,13.0,4.0,6.0,1.0
P0153,Visual,Magnifier,Form_Submit,0.0,38.15617987996947,3.0,Labeling,35.0,3.0,6.0,3.0
P0154,Cognitive,None,Form_Submit,0.0,150.81584296645377,4.0,Navigation,31.0,3.0,7.0,2.0
P0155,Motor,Voice_Control,Search,1.0,88.18619929560687,6.0,Focus,13.0,2.0,4.0,2.0
P0156,Motor,Voice_Control,Search,1.0,47.574976592390485,2.0,Focus,19.0,4.0,6.0,2.0
P0157,Cognitive,None,Navigation,1.0,60.16205801069337,2.0,Focus,16.0,1.0,5.0,1.0
P0158,Hearing,None,Checkout,1.0,130.0306954242514,1.0,Navigation,17.0,5.0,4.0,5.0
P0159,Visual,Screen_Reader,Form_Submit,1.0,16.874382502706148,2.0,Compatibility,14.0,3.0,4.0,2.0
P0160,Cognitive,None,Search,1.0,220.2753417996925,1.0,Compatibility,15.0,5.0,7.0,3.0
P0161,Hearing,None,Navigation,1.0,95.3439472693637,2.0,Labeling,8.0,2.0,5.0,4.0
P0162,Motor,Voice_Control,Form_Submit,1.0,85.32171184819092,0.0,None,13.0,4.0,6.0,0.0
P0163,,Screen_Reader,Checkout,0.0,67.8090790330315,1.0,Compatibility,28.0,5.0,5.0,1.0
P0164,Visual,Screen_Reader,Form_Submit,1.0,39.894376023740264,3.0,Labeling,21.0,3.0,7.0,1.0
P0165,Cognitive,None,Checkout,1.0,32.67139896933355,0.0,None,18.0,2.0,5.0,3.0
P0166,Visual,Screen_Reader,Navigation,1.0,53.63176453055915,7.0,Navigation,6.0,5.0,7.0,1.0
P0167,Hearing,None,Checkout,1.0,94.53465780222301,0.0,None,23.0,4.0,6.0,5.0
P0168,Motor,Keyboard_Only,Search,1.0,20.549713390562985,4.0,Focus,16.0,3.0,6.0,2.0
,Cognitive,None,Navigation,1.0,86.80864742117336,4.0,Navigation,14.0,3.0,6.0,0.0
P0170,Visual,Magnifier,Checkout,0.0,141.97287192993232,1.0,Navigation,29.0,3.0,7.0,1.0
P0171,Visual,Screen_Reader,Search,1.0,58.204853300980645,4.0,Focus,12.0,2.0,7.0,0.0
P0172,Hearing,None,Form_Submit,1.0,162.03060841513172,3.0,Labeling,10.0,3.0,6.0,2.0
P0173,Motor,Voice_Control,Checkout,1.0,148.22189525999133,2.0,Compatibility,17.0,3.0,,1.0
P0174,,None,Search,0.0,49.63844428630884,0.0,None,30.0,3.0,6.0,3.0
P0175,Cognitive,None,Navigation,1.0,74.13532118817464,2.0,Navigation,16.0,1.0,6.0,1.0
P0176,Motor,Voice_Control,Navigation,1.0,141.4171988157574,2.0,,14.0,2.0,5.0,1.0
P0177,Visual,Screen_Reader,Search,1.0,46.59295982758382,1.0,Compatibility,17.0,5.0,,2.0
P0178,Cognitive,None,Search,1.0,192.9876012023002,0.0,None,19.0,2.0,5.0,1.0
P0179,Hearing,None,Navigation,1.0,96.12478515743962,,None,16.0,2.0,5.0,0.0
P0180,Cognitive,None,Navigation,1.0,43.418275087032356,,None,20.0,3.0,5.0,2.0
P0181,Visual,Screen_Reader,Search,1.0,57.57583733241297,3.0,Navigation,10.0,3.0,5.0,1.0
P0182,Motor,Voice_Control,Navigation,1.0,43.59198998664968,4.0,Focus,9.0,3.0,7.0,4.0
P0183,Visual,Magnifier,Search,0.0,118.22441657786638,3.0,Labeling,33.0,2.0,6.0,3.0
P0184,Motor,Voice_Control,Navigation,1.0,32.20415422095586,2.0,Compatibility,22.0,1.0,5.0,4.0
P0185,Hearing,None,Search,1.0,39.03360469192804,0.0,None,13.0,4.0,6.0,5.0
P0186,Hearing,None,Navigation,,94.30756136900578,0.0,None,20.0,2.0,6.0,0.0
P0187,Visual,Screen_Reader,Search,1.0,86.07036555899245,0.0,None,13.0,2.0,6.0,2.0
P0188,Visual,Magnifier,Search,1.0,98.43654314142051,3.0,Compatibility,19.0,5.0,5.0,4.0
P0189,Visual,Screen_Reader,Checkout,1.0,65.43340084395055,3.0,Focus,12.0,5.0,7.0,3.0
P0190,Cognitive,None,Form_Submit,1.0,207.69231010581888,2.0,Labeling,14.0,3.0,5.0,4.0
P0191,Hearing,None,Navigation,1.0,83.11259644300623,4.0,Navigation,18.0,2.0,6.0,2.0
P0192,Visual,Screen_Reader,Checkout,1.0,124.21377160259178,0.0,,19.0,1.0,5.0,3.0
P0193,Visual,Screen_Reader,Checkout,1.0,100.42287520657806,3.0,Labeling,15.0,5.0,6.0,4.0
P0194,Motor,Keyboard_Only,Navigation,1.0,138.959862753318,0.0,None,22.0,5.0,4.0,1.0
P0195,Visual,Screen_Reader,Search,1.0,69.31141633430376,1.0,Navigation,16.0,4.0,5.0,1.0
P0196,Hearing,None,Form_Submit,1.0,33.187007185034446,2.0,Labeling,14.0,4.0,5.0,4.0
P0197,Motor,Voice_Control,Navigation,1.0,110.90986570499038,0.0,None,17.0,3.0,5.0,3.0
P0198,Hearing,None,Navigation,1.0,136.01746957422648,0.0,None,12.0,4.0,7.0,2.0
P0199,Cognitive,None,Form_Submit,0.0,32.85580146406488,4.0,Compatibility,24.0,5.0,6.0,0.0
P0200,Visual,Magnifier,Search,1.0,231.28915118483323,3.0,Focus,24.0,5.0,7.0,2.0
