Participant_ID,Trial_ID,Condition,Stimulus_Word,Stimulus_Color,Response_Key,Correct_Response,Reaction_Time_ms,Accuracy,Trial_Order,Feedback,Age,Gender,Session_Number
P0004,36.0,Neutral,Red,Blue,Space,1.0,352.0276460137807,1.0,36.0,None,31.0,F,1.0
P0001,37.0,Congruent,Blue,Blue,Space,1.0,320.22149497665225,1.0,37.0,None,19.0,F,1.0
P0002,38.0,Neutral,,Red,Space,0.0,412.791788597159,,38.0,None,49.0,M,1.0
P0003,,Neutral,Red,Red,Space,0.0,435.883292402844,1.0,39.0,None,39.0,F,1.0
P0004,40.0,Congruent,Red,Red,Space,1.0,286.16098837475124,1.0,40.0,None,31.0,F,1.0
P0001,41.0,Congruent,Green,Blue,Space,1.0,191.8262331244583,1.0,41.0,None,19.0,F,1.0
P0002,42.0,Neutral,Green,Red,Space,1.0,286.6040321488041,1.0,42.0,None,49.0,M,1.0
P0003,43.0,Congruent,Green,Blue,Space,1.0,218.77116326390237,1.0,43.0,None,39.0,F,1.0
P0004,44.0,Congruent,Red,Yellow,Space,1.0,278.6250057802812,1.0,44.0,None,31.0,F,1.0
P0001,45.0,Incongruent,Green,Yellow,Space,0.0,616.7821330952086,0.0,45.0,None,19.0,F,1.0
P0002,46.0,Incongruent,Green,Green,Space,0.0,,1.0,46.0,None,49.0,M,1.0
,47.0,Congruent,Blue,Yellow,Space,1.0,147.853225567354,1.0,47.0,None,39.0,F,1.0
P0004,48.0,Neutral,Yellow,Blue,Space,0.0,285.7572227929942,0.0,48.0,None,31.0,F,1.0
P0001,1.0,Neutral,Green,Yellow,Space,0.0,204.3778740727651,1.0,1.0,None,19.0,F,2.0
P0002,2.0,Incongruent,Green,Green,Space,0.0,327.08088267450614,1.0,2.0,None,49.0,M,2.0
P0003,3.0,Neutral,,Red,Space,1.0,401.1024364386216,1.0,3.0,None,39.0,F,2.0
P0004,4.0,Neutral,Red,Blue,Space,1.0,247.90337085662512,1.0,4.0,None,31.0,,
P0001,5.0,Incongruent,Yellow,Red,Space,0.0,774.6341990623924,0.0,5.0,None,19.0,F,2.0
P0002,6.0,Neutral,Green,Yellow,Space,0.0,350.54189710324545,1.0,6.0,None,49.0,M,2.0
P0003,7.0,Neutral,Red,,Space,0.0,331.9503075440429,1.0,7.0,None,39.0,F,2.0
P0004,8.0,Incongruent,Blue,Red,Space,0.0,902.0195343181579,0.0,8.0,None,31.0,F,2.0
P0001,9.0,Incongruent,Blue,Red,Space,0.0,671.0940757941139,1.0,9.0,None,19.0,F,2.0
P0002,10.0,Incongruent,Blue,Yellow,Space,0.0,910.0996413342799,1.0,10.0,None,49.0,M,2.0
P0003,11.0,Neutral,Yellow,Yellow,Space,1.0,429.8488624710087,0.0,11.0,None,39.0,F,2.0
P0004,12.0,Neutral,Yellow,Red,Space,1.0,412.8280983594908,1.0,12.0,None,31.0,F,2.0
P0001,13.0,Incongruent,Yellow,Red,Space,0.0,888.6779655184494,1.0,13.0,None,19.0,F,2.0
P0002,14.0,Incongruent,Red,Blue,Space,0.0,774.8871088876983,1.0,14.0,None,49.0,M,2.0
P0003,15.0,Congruent,Red,Yellow,Space,1.0,201.57444224477737,1.0,15.0,None,39.0,F,2.0
P0004,16.0,Congruent,Red,Blue,Space,1.0,278.515072513872,1.0,16.0,None,31.0,F,2.0
P0001,,Incongruent,Yellow,Blue,Space,0.0,601.1183234371513,0.0,17.0,None,19.0,F,2.0
P0002,,Congruent,Red,Blue,Space,1.0,191.5333305536999,1.0,18.0,None,49.0,M,2.0
P0003,19.0,Neutral,Yellow,Red,Space,0.0,390.13103071929413,1.0,19.0,None,39.0,F,2.0
P0004,20.0,Incongruent,Red,Green,Space,0.0,665.070885599291,1.0,20.0,None,31.0,F,2.0
P0001,21.0,Neutral,Red,Green,Space,0.0,483.9137675451527,0.0,21.0,,19.0,F,2.0
P0002,22.0,Incongruent,Red,Red,Space,0.0,1256.9337022406062,1.0,22.0,None,49.0,M,2.0
P0003,23.0,Incongruent,Red,Blue,Space,0.0,675.2062242046457,1.0,23.0,None,39.0,F,2.0
P0004,24.0,Congruent,Yellow,Yellow,Space,1.0,158.930628494726,1.0,24.0,None,31.0,F,2.0
P0001,25.0,Neutral,Red,Green,Space,0.0,515.1456867086101,0.0,25.0,None,19.0,F,2.0
P0002,26.0,Congruent,Red,Blue,Space,1.0,288.4797794687168,1.0,26.0,None,49.0,M,2.0
P0003,27.0,Incongruent,Red,Green,,0.0,662.9959618077751,1.0,27.0,None,39.0,F,2.0
P0004,28.0,Congruent,Green,Red,Space,1.0,442.21008673171207,1.0,28.0,None,31.0,F,2.0
P0001,29.0,Congruent,Blue,Green,Space,1.0,140.85706364825967,1.0,29.0,None,19.0,F,2.0
P0002,30.0,Congruent,Red,Blue,Space,1.0,285.20574378285124,1.0,,None,49.0,M,2.0
P0003,31.0,Incongruent,Blue,Blue,Space,0.0,479.6058376904138,1.0,31.0,None,39.0,F,2.0
,32.0,Incongruent,Blue,Yellow,Space,0.0,491.42042237640806,0.0,32.0,None,31.0,F,2.0
P0001,33.0,Incongruent,Blue,Yellow,Space,0.0,587.319827092032,0.0,33.0,None,19.0,F,2.0
P0002,34.0,Incongruent,Red,Blue,Space,0.0,565.378014346304,1.0,34.0,None,49.0,M,2.0
P0003,,Neutral,Yellow,Blue,Space,1.0,322.8643607683847,1.0,35.0,None,39.0,F,2.0
P0004,36.0,Congruent,Green,Yellow,Space,1.0,147.28930011340088,1.0,36.0,None,31.0,F,2.0
P0001,37.0,Congruent,,Red,Space,1.0,426.1987834400495,1.0,37.0,None,19.0,F,2.0
P0002,38.0,Neutral,Green,Red,Space,1.0,363.48503510201624,1.0,38.0,None,49.0,M,2.0
P0003,39.0,Incongruent,Blue,Yellow,,0.0,1890.870462661797,0.0,,None,39.0,F,2.0
P0004,40.0,Neutral,Green,Red,Space,1.0,204.11826393228446,1.0,40.0,None,31.0,F,2.0
P0001,41.0,Congruent,Green,Green,Space,1.0,268.3524201321964,1.0,41.0,None,19.0,F,2.0
P0002,42.0,Neutral,Green,Yellow,Space,0.0,450.2796692382161,1.0,42.0,None,49.0,M,2.0
P0003,43.0,Congruent,Blue,Yellow,Space,1.0,241.44597000089027,1.0,43.0,None,39.0,F,2.0
P0004,44.0,Incongruent,Green,Yellow,Space,0.0,265.52445015787043,0.0,44.0,None,31.0,F,2.0
P0001,45.0,Incongruent,Green,Red,Space,0.0,964.8755207826024,1.0,45.0,None,19.0,F,2.0
P0002,46.0,Congruent,Red,Green,Space,1.0,285.63254718700455,1.0,46.0,None,49.0,M,2.0
P0003,47.0,Congruent,Blue,Red,Space,1.0,,1.0,47.0,None,39.0,F,2.0
P0004,48.0,Incongruent,Red,Blue,Space,0.0,703.8060111048386,0.0,48.0,None,31.0,F,2.0
P0001,1.0,Incongruent,Green,Yellow,Space,0.0,293.6428873577645,1.0,1.0,None,19.0,F,3.0
P0002,2.0,Incongruent,Red,Red,Space,0.0,656.6341627807755,0.0,2.0,None,49.0,M,3.0
P0003,3.0,Congruent,Green,Green,Space,1.0,309.6262878773687,1.0,3.0,None,39.0,F,3.0
P0004,4.0,Neutral,Blue,Green,,0.0,328.9216332585872,1.0,4.0,None,31.0,F,3.0
P0001,5.0,Congruent,Green,Green,Space,1.0,132.02342444030242,1.0,5.0,None,19.0,F,3.0
P0002,6.0,Neutral,Yellow,Red,Space,0.0,479.24784685390694,1.0,6.0,None,49.0,M,3.0
P0003,7.0,Congruent,Green,Green,Space,1.0,246.8565181132325,1.0,7.0,None,39.0,F,3.0
P0004,8.0,Congruent,Green,Red,Space,1.0,338.17291685896123,1.0,8.0,None,31.0,F,3.0
P0001,9.0,Incongruent,Red,Green,Space,0.0,1164.9187505401528,1.0,9.0,None,19.0,F,3.0
,10.0,Incongruent,Green,Red,Space,0.0,1353.6525222487728,1.0,10.0,None,49.0,M,3.0
P0003,11.0,Neutral,Red,Red,Space,0.0,214.83530618688158,1.0,11.0,None,39.0,F,3.0
P0004,12.0,Congruent,Yellow,Blue,Space,1.0,177.74035876258637,1.0,12.0,None,31.0,F,3.0
P0001,13.0,Incongruent,Red,Yellow,Space,0.0,753.6267506790074,0.0,13.0,None,19.0,F,3.0
P0002,14.0,Congruent,Yellow,Red,Space,1.0,196.6443995559804,1.0,14.0,None,49.0,M,3.0
P0003,15.0,Incongruent,Yellow,Yellow,Space,0.0,664.0478228029826,0.0,15.0,None,39.0,F,3.0
P0004,16.0,Neutral,Blue,Red,Space,1.0,333.4866996565291,1.0,16.0,None,31.0,F,3.0
P0001,17.0,Congruent,Red,Green,Space,1.0,228.64387552598507,1.0,17.0,None,19.0,F,3.0
P0002,18.0,Neutral,Yellow,Yellow,Space,0.0,256.1942559539514,1.0,18.0,None,49.0,M,3.0
P0003,19.0,Congruent,Red,Green,Space,1.0,193.48128194170042,1.0,19.0,None,39.0,F,3.0
P0004,20.0,Neutral,Yellow,Yellow,Space,1.0,230.24790049923024,1.0,20.0,None,31.0,F,3.0
P0001,21.0,Congruent,Green,Green,Space,1.0,212.4783704235749,1.0,21.0,None,19.0,,3.0
P0002,22.0,Incongruent,Green,Green,Space,0.0,1494.2793259258476,1.0,22.0,,49.0,M,3.0
P0003,23.0,Incongruent,Yellow,Red,Space,0.0,1025.6852650771132,0.0,23.0,None,39.0,F,3.0
P0004,24.0,Incongruent,Yellow,Yellow,Space,0.0,1111.7421262926578,0.0,24.0,None,31.0,F,3.0
P0001,25.0,Incongruent,Green,Green,Space,0.0,510.31687655984865,1.0,25.0,None,19.0,F,3.0
P0002,26.0,Incongruent,Blue,Blue,Space,0.0,742.4641903233306,0.0,26.0,None,49.0,M,3.0
P0003,27.0,Neutral,Red,Red,Space,0.0,,1.0,27.0,None,39.0,F,3.0
P0004,28.0,Congruent,Yellow,Red,Space,1.0,182.66909448348656,1.0,28.0,None,31.0,F,3.0
P0001,29.0,Neutral,Yellow,Green,Space,1.0,197.89606186254647,1.0,29.0,None,19.0,F,
P0002,30.0,Neutral,Yellow,Green,Space,0.0,632.566958105867,,30.0,None,49.0,M,3.0
P0003,31.0,Neutral,Green,Red,Space,0.0,178.14266931741255,0.0,31.0,None,39.0,F,3.0
P0004,32.0,Congruent,Yellow,Yellow,Space,1.0,250.45103638664347,1.0,32.0,None,31.0,F,3.0
P0001,33.0,Neutral,,Red,Space,0.0,184.70599143024376,1.0,33.0,None,19.0,F,3.0
P0002,34.0,,Green,Green,Space,0.0,432.93213912805834,0.0,34.0,,49.0,M,3.0
P0003,35.0,Congruent,Blue,Yellow,Space,1.0,311.23881280466054,1.0,35.0,None,39.0,F,3.0
P0004,36.0,Congruent,Yellow,Green,Space,1.0,193.79444171004067,1.0,36.0,None,31.0,F,3.0
P0001,37.0,Incongruent,Blue,Yellow,Space,0.0,707.4017611473681,0.0,37.0,None,19.0,F,3.0
P0002,38.0,Neutral,Blue,Blue,Space,0.0,264.0327180180625,1.0,38.0,None,,M,3.0
P0003,39.0,Neutral,Yellow,Yellow,Space,1.0,227.7975447613187,1.0,39.0,None,39.0,F,
P0004,40.0,Neutral,Green,Green,Space,1.0,362.90541233855555,1.0,40.0,None,31.0,F,3.0
P0001,41.0,Neutral,Red,Blue,Space,1.0,237.89403428380638,1.0,41.0,None,19.0,F,3.0
P0002,42.0,Neutral,Red,Blue,Space,0.0,172.19821704808712,1.0,42.0,None,49.0,M,3.0
P0003,43.0,Incongruent,Blue,Red,Space,0.0,334.0196168691714,0.0,43.0,None,39.0,F,3.0
,44.0,Neutral,Green,Green,Space,,691.9034085630635,,44.0,None,31.0,F,3.0
P0001,45.0,Incongruent,Yellow,Red,Space,0.0,707.677435872489,0.0,45.0,None,19.0,F,3.0
P0002,46.0,Congruent,Blue,Green,Space,1.0,229.05658008156647,1.0,46.0,None,49.0,M,3.0
P0003,47.0,Neutral,Red,Green,Space,1.0,502.86469312917177,1.0,47.0,None,39.0,F,3.0
P0004,48.0,Incongruent,Green,,Space,,723.9865638107873,1.0,48.0,None,31.0,F,3.0
P0001,1.0,Neutral,Green,Yellow,Space,0.0,207.60709056155918,0.0,1.0,None,19.0,F,1.0
P0002,2.0,Congruent,Yellow,Yellow,Space,1.0,643.1958727976071,1.0,2.0,None,49.0,M,1.0
P0003,3.0,Neutral,Red,Blue,Space,0.0,305.75269094922754,1.0,3.0,None,39.0,F,1.0
P0004,4.0,Incongruent,Blue,Blue,Space,0.0,541.2448313469773,0.0,4.0,None,31.0,F,1.0
P0001,5.0,Incongruent,Blue,Blue,Space,0.0,395.0020588830288,0.0,5.0,None,19.0,F,1.0
P0002,6.0,Neutral,Green,Red,Space,0.0,454.78056328110415,0.0,6.0,None,49.0,M,1.0
P0003,7.0,Congruent,Red,Green,Space,1.0,199.1023811108932,1.0,7.0,None,39.0,F,1.0
P0004,8.0,Neutral,Yellow,Yellow,Space,1.0,490.09696594547745,0.0,8.0,None,31.0,F,1.0
P0001,9.0,Neutral,,Yellow,Space,0.0,198.05575199106707,1.0,9.0,None,19.0,F,1.0
P0002,10.0,Congruent,Green,Red,Space,1.0,349.07595550588286,1.0,10.0,None,49.0,M,1.0
P0003,11.0,Neutral,Blue,Green,Space,1.0,825.6892065736945,1.0,11.0,None,39.0,F,1.0
P0004,12.0,Neutral,Green,Red,Space,0.0,361.587435559654,1.0,12.0,None,31.0,F,1.0
P0001,,Neutral,Blue,Green,Space,1.0,,1.0,13.0,None,19.0,F,1.0
P0002,14.0,Congruent,Yellow,Blue,Space,1.0,154.45535348771702,1.0,14.0,None,49.0,M,1.0
P0003,15.0,Neutral,Red,Blue,Space,1.0,279.1184806169225,1.0,15.0,None,39.0,F,1.0
P0004,16.0,Incongruent,Yellow,Blue,Space,0.0,721.0543970814821,1.0,16.0,None,31.0,F,1.0
P0001,17.0,Neutral,Blue,Yellow,Space,0.0,131.85542645556595,1.0,17.0,None,19.0,F,1.0
P0002,18.0,Incongruent,Green,Blue,Space,0.0,880.7137863508948,1.0,18.0,None,49.0,M,1.0
,19.0,Incongruent,Blue,Blue,Space,0.0,799.5588292325901,1.0,19.0,None,39.0,F,1.0
P0004,20.0,Congruent,Yellow,Blue,Space,1.0,148.905949023027,1.0,20.0,None,31.0,F,1.0
P0001,,Neutral,Green,Red,Space,0.0,270.5528949779085,1.0,21.0,None,19.0,F,1.0
P0002,22.0,Congruent,Red,Blue,Space,1.0,132.54890860830017,1.0,22.0,None,49.0,M,1.0
P0003,23.0,Incongruent,Red,Blue,Space,0.0,470.0303990112619,1.0,23.0,None,39.0,F,1.0
P0004,24.0,Congruent,Yellow,Yellow,Space,1.0,190.14411720041863,1.0,24.0,None,31.0,F,1.0
P0001,25.0,Incongruent,Yellow,Green,Space,0.0,552.2971169354075,0.0,25.0,None,19.0,F,1.0
P0002,26.0,Neutral,Blue,Yellow,Space,1.0,343.232805951763,1.0,26.0,None,49.0,M,1.0
P0003,27.0,Incongruent,Red,Green,Space,0.0,826.1498395153028,1.0,27.0,None,39.0,F,1.0
P0004,28.0,Congruent,Green,Blue,Space,1.0,212.42593453849895,1.0,28.0,None,31.0,,1.0
P0001,29.0,Neutral,Yellow,Blue,Space,1.0,545.2757176147692,1.0,29.0,None,19.0,F,1.0
P0002,30.0,Congruent,Yellow,Red,Space,1.0,386.1544467629978,1.0,30.0,None,49.0,M,1.0
P0003,31.0,Congruent,Green,Yellow,Space,1.0,160.73835145970278,1.0,31.0,None,39.0,F,1.0
P0004,32.0,Congruent,Red,Green,Space,1.0,305.3828922250827,1.0,32.0,None,31.0,F,1.0
P0001,33.0,Congruent,Green,Green,Space,1.0,408.3303032862205,1.0,33.0,None,19.0,F,1.0
P0002,34.0,Neutral,Green,Green,Space,0.0,211.052742942415,1.0,34.0,None,49.0,M,1.0
P0003,35.0,Incongruent,Red,Yellow,Space,0.0,487.49514540782747,1.0,35.0,None,39.0,F,1.0
P0004,36.0,Congruent,Green,Red,Space,1.0,295.61697522114025,1.0,36.0,None,31.0,F,1.0
P0001,37.0,Neutral,Yellow,Red,Space,1.0,298.3302318649956,1.0,37.0,None,19.0,F,1.0
P0002,38.0,Neutral,Red,Red,Space,1.0,336.27233484407066,1.0,38.0,None,49.0,M,1.0
P0003,39.0,Incongruent,Blue,Green,Space,0.0,804.2457756122915,1.0,39.0,None,39.0,F,1.0
P0004,40.0,Incongruent,Yellow,Red,Space,0.0,554.0871557500996,1.0,40.0,None,31.0,F,1.0
P0001,41.0,Incongruent,Red,Red,Space,0.0,924.4246060650911,1.0,41.0,None,19.0,F,1.0
P0002,42.0,Incongruent,Red,Blue,Space,0.0,370.54050095331485,1.0,42.0,None,49.0,M,1.0
P0003,43.0,Neutral,Blue,Red,Space,0.0,165.28706755718275,1.0,43.0,None,39.0,F,1.0
P0004,44.0,Neutral,Green,Blue,Space,1.0,243.51903279874242,0.0,44.0,None,31.0,F,1.0
P0001,45.0,Congruent,Green,Red,Space,1.0,451.3436319149698,1.0,45.0,None,19.0,F,1.0
P0002,46.0,Congruent,Yellow,Yellow,Space,1.0,353.72741634900547,1.0,46.0,None,49.0,M,1.0
P0003,47.0,Neutral,Green,Red,Space,0.0,402.241961463215,1.0,47.0,None,39.0,F,1.0
P0004,48.0,Congruent,Yellow,Blue,Space,1.0,176.68096406368113,1.0,48.0,None,,F,1.0
P0001,1.0,Incongruent,Green,Green,Space,,297.31149940881295,0.0,1.0,None,19.0,F,2.0
P0002,2.0,Incongruent,Blue,Blue,Space,0.0,355.4221960671155,0.0,,None,49.0,M,2.0
P0003,3.0,Incongruent,Yellow,Red,Space,0.0,526.6488452187789,1.0,3.0,None,39.0,F,2.0
P0004,4.0,Incongruent,Green,Red,Space,0.0,689.5549330278631,1.0,4.0,None,31.0,F,2.0
P0001,5.0,Incongruent,Blue,Yellow,,0.0,842.9364663245491,1.0,5.0,None,19.0,F,2.0
P0002,6.0,Incongruent,Blue,Yellow,Space,0.0,769.7636580079501,1.0,6.0,None,49.0,M,2.0
P0003,7.0,,Red,Blue,Space,1.0,199.36780285630383,0.0,7.0,None,39.0,F,2.0
P0004,8.0,Neutral,Blue,Red,Space,1.0,515.5190072062924,1.0,8.0,None,31.0,F,2.0
